location,block,quantity
0,jungle_door,26
1,emerald_ore,8
2,diamond_block,23
3,prismarine,40
4,quartz_stairs,28
5,redstone_ore,49
6,anvil,63
7,red_mushroom_block,12
8,lapis_block,42
9,furnace,15
10,iron_door,9
11,hay_block,19
12,obsidian,20
13,tnt,25
14,dark_oak_stairs,20
15,redstone_block,10
16,birch_stairs,32
17,spruce_stairs,24
18,ice,18
19,sandstone_stairs,12
20,detector_rail,55
21,farmland,19
22,end_portal_frame,31
23,redstone_block,29
24,stone_button,53
25,crafting_table,47
26,piston,35
27,jungle_door,21
28,command_block,39
29,sea_lantern,56
30,sandstone,32
31,dark_oak_stairs,12
32,brick_stairs,20
33,birch_door,59
34,jungle_fence_gate,29
35,glass,42
