location,block,quantity
0,birch_door,15
1,obsidian,31
2,lever,52
3,clay,41
4,acacia_door,52
5,prismarine,19
6,lapis_block,45
7,stone_button,15
8,redstone_ore,5
9,iron_trapdoor,63
10,dropper,56
11,jungle_fence,51
12,stone_button,35
13,trapped_chest,46
14,acacia_fence,43
15,daylight_detector,58
16,empty,8
17,acacia_fence,27
18,gravel,56
19,acacia_door,48
20,jungle_fence,62
21,tripwire_hook,47
22,spruce_stairs,30
23,birch_stairs,28
24,oak_stairs,53
25,cauldron,15
26,cobblestone_wall,22
27,enchanting_table,27
28,pumpkin,3
29,cactus,28
30,dark_oak_fence_gate,34
31,glass_pane,60
32,mossy_cobblestone,11
33,dropper,57
34,stone,41
35,hay_block,11
