location,block,quantity
0,ice,12
1,crafting_table,32
2,jungle_fence,20
3,brick_stairs,44
4,dark_oak_fence,35
5,command_block,28
6,stone_stairs,39
7,nether_brick_fence,57
8,brown_mushroom,62
9,acacia_stairs,2
10,coal_ore,27
11,red_sandstone_stairs,58
12,sea_lantern,3
13,torch,60
14,cauldron,64
15,anvil,22
16,nether_brick_fence,34
17,cobblestone,12
18,stone_slab,22
19,gravel,2
20,spruce_fence_gate,49
21,glass,5
22,snow,58
23,obsidian,22
24,empty,32
25,coal_ore,4
26,sticky_piston,61
27,obsidian,14
28,barrier,22
29,cake,8
30,packed_ice,19
31,crafting_table,9
32,soul_sand,6
33,chest,21
34,cake,9
35,obsidian,46
