location,block,quantity
0,jungle_fence,60
1,torch,60
2,tnt,2
3,cauldron,20
4,mycelium,21
5,iron_block,49
6,dark_oak_fence_gate,49
7,glowstone,23
8,sea_lantern,38
9,dark_oak_fence,16
10,dirt,38
11,clay,43
12,spruce_stairs,62
13,command_block,21
14,flower_pot,57
15,nether_brick_fence,42
16,flower_pot,5
17,red_mushroom,47
18,coal_ore,48
19,iron_ore,63
20,birch_stairs,34
21,dark_oak_fence,47
22,coal_block,41
23,barrier,47
24,detector_rail,16
25,netherrack,43
26,iron_trapdoor,20
27,empty,36
28,glass_pane,36
29,tripwire_hook,13
30,red_sandstone,63
31,spruce_door,22
32,birch_stairs,37
33,sandstone,50
34,cake,53
35,rail,6
