location,block,quantity
0,snow,35
1,enchanting_table,25
2,soul_sand,52
3,red_mushroom,32
4,red_mushroom_block,48
5,quartz_block,25
6,stone_button,36
7,nether_brick_fence,44
8,acacia_door,32
9,iron_door,37
10,tnt,46
11,redstone_torch,15
12,jungle_stairs,19
13,diamond_block,3
14,activator_rail,26
15,beacon,56
16,beacon,33
17,spruce_door,3
18,bookshelf,21
19,furnace,11
20,spruce_stairs,63
21,stone_brick_stairs,58
22,iron_block,49
23,red_sandstone_stairs,55
24,light_weighted_pressure_plate,20
25,sticky_piston,13
26,sponge,7
27,nether_brick,26
28,dark_oak_fence,41
29,barrier,25
30,brick_stairs,6
31,torch,22
32,obsidian,30
33,brown_mushroom_block,57
34,brown_mushroom_block,59
35,emerald_ore,59
