location,block,quantity
0,red_mushroom_block,25
1,piston,51
2,stone_brick_stairs,1
3,acacia_stairs,2
4,light_weighted_pressure_plate,34
5,sandstone,10
6,ladder,3
7,snow,24
8,redstone_ore,25
9,iron_trapdoor,9
10,dark_oak_door,22
11,iron_ore,14
12,crafting_table,40
13,birch_door,36
14,redstone_torch,20
15,stone_stairs,62
16,dark_oak_fence_gate,15
17,glass_pane,13
18,sponge,7
19,iron_bars,34
20,nether_brick_stairs,47
21,jungle_fence,49
22,mycelium,38
23,birch_stairs,7
24,gold_ore,62
25,ender_chest,8
26,cauldron,7
27,ice,29
28,jungle_door,2
29,prismarine,3
30,red_mushroom_block,9
31,wheat,32
32,glass,29
33,farmland,58
34,stone_slab,12
35,chest,19
