location,block,quantity
0,quartz_block,52
1,tripwire_hook,60
2,ender_chest,51
3,brown_mushroom_block,40
4,glass_pane,38
5,spruce_fence,27
6,acacia_stairs,19
7,acacia_door,39
8,diamond_ore,54
9,sandstone,1
10,tripwire_hook,3
11,ladder,22
12,flower_pot,46
13,flower_pot,53
14,dark_oak_fence_gate,2
15,vine,15
16,anvil,44
17,clay,6
18,end_portal_frame,55
19,glowstone,20
20,dark_oak_door,56
21,oak_stairs,51
22,emerald_ore,44
23,lapis_block,64
24,crafting_table,46
25,enchanting_table,41
26,emerald_block,50
27,spruce_fence,22
28,brown_mushroom,63
29,pumpkin,59
30,cobblestone,38
31,iron_trapdoor,42
32,ender_chest,35
33,activator_rail,63
34,emerald_block,24
35,diamond_ore,40
