location,block,quantity
0,cactus,61
1,redstone_lamp,41
2,quartz_block,46
3,quartz_stairs,63
4,acacia_fence_gate,16
5,glass,25
6,ladder,49
7,sandstone_stairs,44
8,beacon,23
9,brown_mushroom_block,42
10,anvil,41
11,glass,28
12,iron_ore,60
13,pumpkin,23
14,stone_button,37
15,gravel,19
16,mycelium,58
17,hopper,35
18,command_block,60
19,stone_brick_stairs,3
20,nether_brick_stairs,38
21,ladder,8
22,dispenser,38
23,flower_pot,2
24,jungle_stairs,52
25,emerald_block,14
26,anvil,46
27,hopper,51
28,brown_mushroom,26
29,stone,49
30,ender_chest,40
31,acacia_stairs,30
32,bookshelf,41
33,cactus,54
34,hay_block,49
35,iron_bars,2
