location,block,quantity
0,hopper,40
1,sponge,26
2,acacia_stairs,43
3,crafting_table,14
4,iron_block,21
5,enchanting_table,22
6,detector_rail,2
7,emerald_block,7
8,jukebox,58
9,anvil,1
10,glowstone,38
11,sticky_piston,51
12,lapis_block,30
13,redstone_lamp,40
14,ladder,28
15,stone_brick_stairs,52
16,spruce_fence_gate,4
17,mossy_cobblestone,49
18,iron_ore,50
19,red_sandstone_stairs,64
20,cactus,31
21,stone_stairs,29
22,diamond_ore,36
23,stone,22
24,sticky_piston,46
25,farmland,41
26,brick_stairs,16
27,command_block,36
28,red_sandstone_stairs,31
29,birch_door,43
30,clay,59
31,birch_fence,62
32,brick_stairs,17
33,heavy_weighted_pressure_plate,52
34,acacia_door,34
35,end_portal_frame,3
