location,block,quantity
0,anvil,16
1,stone_slab,22
2,acacia_door,14
3,dark_oak_door,6
4,diamond_block,55
5,tripwire_hook,35
6,beacon,29
7,prismarine,56
8,red_sandstone,54
9,redstone_block,29
10,glass,3
11,birch_fence,22
12,snow,45
13,chest,2
14,glass,61
15,nether_brick,1
16,diamond_ore,29
17,beacon,38
18,gravel,45
19,iron_door,56
20,activator_rail,48
21,prismarine,24
22,spruce_fence,52
23,jukebox,5
24,iron_door,40
25,tripwire_hook,9
26,quartz_block,56
27,wheat,64
28,dark_oak_fence,48
29,nether_brick_stairs,24
30,spruce_fence,26
31,brewing_stand,49
32,nether_brick,46
33,pumpkin,18
34,packed_ice,64
35,redstone_block,41
