location,block,quantity
0,gold_block,14
1,flower_pot,21
2,sponge,11
3,acacia_stairs,37
4,spruce_fence_gate,2
5,quartz_block,22
6,lever,7
7,netherrack,12
8,snow,14
9,redstone_lamp,24
10,stone_stairs,48
11,quartz_block,1
12,glowstone,29
13,acacia_stairs,38
14,packed_ice,2
15,clay,51
16,cake,62
17,stone,13
18,heavy_weighted_pressure_plate,5
19,activator_rail,39
20,packed_ice,15
21,soul_sand,28
22,dark_oak_fence,24
23,birch_door,16
24,oak_stairs,63
25,barrier,44
26,stone_button,27
27,stone,50
28,sticky_piston,41
29,iron_ore,14
30,coal_ore,4
31,dispenser,57
32,stone_slab,48
33,lapis_ore,63
34,iron_ore,10
35,bookshelf,27
