location,block,quantity
0,crafting_table,36
1,acacia_fence,60
2,tripwire_hook,36
3,clay,27
4,jungle_stairs,7
5,acacia_fence,46
6,diamond_block,16
7,ice,5
8,dispenser,14
9,heavy_weighted_pressure_plate,30
10,barrier,28
11,brick_stairs,47
12,nether_brick_fence,36
13,coal_block,45
14,gravel,41
15,dark_oak_fence_gate,64
16,iron_bars,54
17,dark_oak_door,58
18,gravel,11
19,cobblestone,2
20,glowstone,17
21,quartz_stairs,10
22,quartz_block,13
23,coal_ore,30
24,spruce_stairs,55
25,grass,10
26,stone,11
27,oak_stairs,1
28,sea_lantern,31
29,birch_stairs,58
30,gold_block,26
31,nether_brick_fence,14
32,mycelium,29
33,beacon,37
34,brown_mushroom_block,38
35,wheat,23
