location,block,quantity
0,gold_ore,2
1,dark_oak_fence,55
2,birch_fence,7
3,nether_brick_fence,60
4,sandstone_stairs,18
5,cactus,57
6,nether_wart,17
7,gold_ore,14
8,iron_bars,2
9,gravel,54
10,end_stone,30
11,flower_pot,39
12,nether_brick_stairs,2
13,soul_sand,1
14,trapped_chest,25
15,spruce_fence_gate,15
16,birch_fence_gate,44
17,diamond_ore,63
18,furnace,34
19,trapped_chest,23
20,daylight_detector,11
21,redstone_lamp,63
22,stone_button,1
23,quartz_stairs,54
24,beacon,47
25,sponge,37
26,gold_ore,44
27,jungle_fence,29
28,gravel,38
29,hopper,4
30,cactus,49
31,birch_fence,11
32,iron_trapdoor,48
33,glowstone,13
34,flower_pot,13
35,acacia_door,27
