location,block,quantity
0,diamond_block,2
1,stone_brick_stairs,36
2,brick_stairs,12
3,sea_lantern,41
4,birch_door,17
5,wheat,60
6,prismarine,36
7,quartz_stairs,26
8,dropper,36
9,jungle_fence,1
10,redstone_lamp,5
11,netherrack,28
12,brick_stairs,28
13,dark_oak_fence_gate,4
14,detector_rail,30
15,redstone_block,40
16,grass,1
17,acacia_fence,12
18,cake,48
19,ladder,11
20,quartz_stairs,36
21,obsidian,25
22,iron_ore,41
23,iron_ore,55
24,coal_block,48
25,sandstone,51
26,sand,51
27,tripwire_hook,42
28,sea_lantern,23
29,redstone_lamp,25
30,ladder,52
31,iron_ore,31
32,glass,60
33,packed_ice,35
34,enchanting_table,61
35,stone_stairs,51
