location,block,quantity
0,packed_ice,24
1,hay_block,43
2,heavy_weighted_pressure_plate,25
3,gold_block,59
4,lapis_block,2
5,anvil,61
6,sticky_piston,36
7,nether_wart,64
8,glass,32
9,red_mushroom,21
10,glass_pane,4
11,jungle_door,2
12,dark_oak_fence,52
13,netherrack,15
14,iron_ore,49
15,jungle_fence,39
16,red_mushroom_block,35
17,lapis_block,17
18,emerald_ore,22
19,iron_trapdoor,50
20,jungle_fence,7
21,nether_brick,25
22,quartz_stairs,15
23,tnt,57
24,spruce_fence,48
25,cactus,60
26,activator_rail,2
27,spruce_stairs,7
28,dark_oak_fence_gate,35
29,jungle_door,1
30,brown_mushroom,59
31,iron_door,31
32,gravel,56
33,birch_fence_gate,48
34,spruce_fence,10
35,soul_sand,48
