location,block,quantity
0,brown_mushroom_block,46
1,tnt,58
2,sticky_piston,3
3,spruce_stairs,59
4,heavy_weighted_pressure_plate,64
5,emerald_block,11
6,acacia_door,56
7,iron_bars,35
8,cake,34
9,trapped_chest,58
10,lever,6
11,coal_block,55
12,wheat,12
13,redstone_torch,15
14,ladder,42
15,furnace,29
16,redstone_torch,24
17,brick_stairs,56
18,nether_brick,21
19,brewing_stand,13
20,dark_oak_fence,53
21,brown_mushroom_block,52
22,ender_chest,14
23,hopper,42
24,gold_block,41
25,snow,30
26,tripwire_hook,29
27,clay,12
28,gravel,31
29,acacia_stairs,41
30,iron_trapdoor,15
31,cactus,49
32,ice,34
33,red_mushroom,45
34,bookshelf,39
35,nether_brick_fence,1
