location,block,quantity
0,dark_oak_fence,34
1,ladder,57
2,chest,11
3,iron_trapdoor,31
4,torch,52
5,nether_brick_stairs,30
6,lapis_block,5
7,lapis_ore,34
8,lever,57
9,acacia_fence,19
10,daylight_detector,14
11,ice,49
12,cake,30
13,mossy_cobblestone,50
14,light_weighted_pressure_plate,19
15,jungle_stairs,44
16,acacia_fence,15
17,red_mushroom,56
18,lapis_ore,6
19,red_mushroom_block,12
20,farmland,52
21,grass,15
22,cobblestone_wall,56
23,spruce_fence,59
24,oak_stairs,24
25,red_mushroom,39
26,enchanting_table,51
27,dropper,25
28,activator_rail,16
29,stone_button,5
30,anvil,18
31,sandstone,35
32,bookshelf,6
33,beacon,36
34,brick_stairs,55
35,iron_block,26
