location,block,quantity
0,obsidian,10
1,red_mushroom,56
2,dragon_egg,48
3,gold_block,10
4,pumpkin,22
5,iron_door,21
6,iron_bars,37
7,quartz_block,40
8,redstone_ore,41
9,ladder,9
10,ice,35
11,brown_mushroom,27
12,gravel,34
13,tripwire_hook,23
14,jungle_fence_gate,14
15,light_weighted_pressure_plate,11
16,dragon_egg,18
17,glowstone,22
18,redstone_ore,21
19,jungle_fence_gate,6
20,glowstone,38
21,grass,16
22,nether_brick_fence,45
23,stone,14
24,cobblestone,38
25,nether_wart,15
26,brick_stairs,48
27,glowstone,40
28,nether_brick_fence,32
29,lapis_block,21
30,mycelium,3
31,spruce_door,36
32,furnace,56
33,hay_block,51
34,stone,2
35,end_portal_frame,23
