location,block,quantity
0,emerald_block,34
1,dispenser,11
2,nether_brick_stairs,22
3,netherrack,25
4,red_sandstone_stairs,55
5,birch_fence,23
6,empty,6
7,tnt,1
8,stone_button,5
9,hay_block,57
10,dropper,8
11,jungle_stairs,19
12,coal_ore,3
13,acacia_fence_gate,15
14,gold_ore,41
15,torch,4
16,nether_brick,20
17,redstone_ore,33
18,cactus,11
19,birch_fence,23
20,hay_block,46
21,red_sandstone,7
22,glass_pane,36
23,glowstone,5
24,cobblestone,10
25,stone_slab,33
26,diamond_block,32
27,acacia_door,40
28,soul_sand,5
29,rail,37
30,mycelium,12
31,redstone_lamp,5
32,cobblestone,42
33,dropper,40
34,furnace,12
35,brewing_stand,24
