location,block,quantity
0,grass,4
1,sponge,42
2,end_portal_frame,61
3,brick_stairs,22
4,rail,55
5,birch_fence,39
6,anvil,10
7,jungle_stairs,45
8,enchanting_table,16
9,nether_brick,7
10,jungle_stairs,56
11,acacia_stairs,3
12,red_sandstone,43
13,end_portal_frame,3
14,nether_brick,10
15,cauldron,29
16,prismarine,9
17,redstone_ore,34
18,rail,23
19,cake,46
20,iron_bars,56
21,flower_pot,50
22,sticky_piston,26
23,spruce_stairs,41
24,cauldron,12
25,dark_oak_fence,27
26,stone_stairs,14
27,nether_wart,29
28,iron_door,28
29,redstone_ore,9
30,spruce_fence,13
31,nether_wart,3
32,spruce_door,15
33,brown_mushroom,49
34,coal_block,7
35,redstone_torch,2
