location,block,quantity
0,dirt,6
1,lapis_ore,7
2,cake,6
3,birch_door,54
4,acacia_stairs,20
5,end_portal_frame,10
6,dark_oak_fence,20
7,cake,16
8,barrier,30
9,daylight_detector,23
10,birch_door,21
11,sand,20
12,dropper,46
13,hay_block,45
14,dragon_egg,59
15,emerald_block,8
16,trapped_chest,4
17,birch_fence,14
18,sea_lantern,60
19,flower_pot,40
20,lapis_block,36
21,redstone_lamp,11
22,flower_pot,48
23,lever,10
24,spruce_stairs,39
25,cactus,46
26,lapis_ore,40
27,stone_button,52
28,red_sandstone_stairs,17
29,red_sandstone,38
30,iron_bars,35
31,anvil,11
32,gravel,51
33,jungle_fence_gate,61
34,furnace,13
35,red_sandstone,1
