location,block,quantity
0,cactus,54
1,pumpkin,47
2,dark_oak_stairs,44
3,acacia_door,11
4,ladder,24
5,redstone_ore,42
6,furnace,28
7,acacia_fence_gate,23
8,acacia_stairs,8
9,red_mushroom_block,13
10,redstone_block,21
11,lever,42
12,anvil,32
13,sandstone,27
14,dropper,10
15,redstone_torch,22
16,brick_stairs,6
17,brewing_stand,49
18,acacia_stairs,63
19,jungle_fence,44
20,glowstone,8
21,glowstone,48
22,gold_block,43
23,furnace,18
24,dark_oak_door,14
25,vine,24
26,red_mushroom_block,34
27,coal_block,10
28,birch_fence_gate,20
29,lapis_block,56
30,packed_ice,56
31,nether_brick_stairs,25
32,mossy_cobblestone,50
33,brown_mushroom,21
34,hay_block,51
35,redstone_ore,44
