location,block,quantity
0,emerald_block,32
1,sand,21
2,quartz_stairs,2
3,lapis_block,29
4,birch_fence,35
5,iron_trapdoor,45
6,packed_ice,18
7,chest,40
8,quartz_block,52
9,pumpkin,29
10,beacon,34
11,lapis_ore,42
12,dragon_egg,39
13,emerald_block,18
14,end_portal_frame,21
15,grass,38
16,dropper,28
17,tnt,28
18,birch_stairs,30
19,clay,27
20,mycelium,60
21,wheat,45
22,glass,28
23,brewing_stand,25
24,torch,45
25,grass,38
26,enchanting_table,60
27,birch_fence,7
28,coal_block,17
29,end_stone,62
30,jungle_fence_gate,40
31,acacia_fence,62
32,iron_block,32
33,hay_block,22
34,prismarine,6
35,gold_ore,23
