location,block,quantity
0,acacia_door,19
1,flower_pot,29
2,ender_chest,16
3,brown_mushroom,59
4,sticky_piston,49
5,detector_rail,61
6,dark_oak_fence,60
7,piston,24
8,anvil,9
9,birch_stairs,58
10,brewing_stand,47
11,red_sandstone_stairs,14
12,gold_ore,41
13,redstone_block,3
14,stone,27
15,red_sandstone,55
16,snow,54
17,redstone_torch,64
18,tnt,47
19,cauldron,56
20,cauldron,48
21,vine,41
22,gravel,56
23,ender_chest,9
24,cake,1
25,tnt,50
26,jungle_fence_gate,3
27,lapis_block,42
28,chest,14
29,stone_pressure_plate,63
30,sea_lantern,44
31,iron_door,23
32,barrier,22
33,cake,32
34,glass_pane,56
35,iron_door,34
