location,block,quantity
0,nether_brick_fence,21
1,glass_pane,39
2,stone_brick_stairs,1
3,quartz_block,31
4,acacia_fence_gate,11
5,command_block,27
6,heavy_weighted_pressure_plate,51
7,jungle_door,53
8,hopper,18
9,gold_block,8
10,glowstone,18
11,activator_rail,51
12,gravel,37
13,emerald_block,2
14,acacia_stairs,17
15,sand,5
16,tnt,19
17,dragon_egg,25
18,iron_trapdoor,4
19,iron_bars,14
20,bookshelf,53
21,cactus,59
22,iron_trapdoor,14
23,bedrock,7
24,jukebox,45
25,iron_bars,44
26,coal_ore,51
27,redstone_ore,18
28,end_stone,31
29,cactus,28
30,snow,4
31,cobblestone,44
32,dark_oak_door,11
33,grass,61
34,dropper,18
35,dirt,58
