location,block,quantity
0,dark_oak_fence,35
1,dragon_egg,17
2,barrier,50
3,furnace,53
4,barrier,28
5,obsidian,62
6,coal_block,27
7,stone_pressure_plate,3
8,dark_oak_fence,38
9,trapped_chest,27
10,glass,57
11,spruce_door,40
12,cauldron,47
13,oak_stairs,33
14,heavy_weighted_pressure_plate,56
15,glass_pane,28
16,iron_door,31
17,heavy_weighted_pressure_plate,3
18,sticky_piston,45
19,enchanting_table,27
20,glass_pane,54
21,end_stone,9
22,gold_block,18
23,enchanting_table,25
24,jukebox,34
25,jungle_fence,40
26,cobblestone,54
27,dragon_egg,40
28,glowstone,63
29,dark_oak_fence,64
30,cobblestone,52
31,tripwire_hook,20
32,redstone_block,20
33,red_mushroom_block,39
34,glass_pane,38
35,obsidian,15
