location,block,quantity
0,stone_pressure_plate,13
1,hopper,41
2,spruce_door,13
3,hay_block,20
4,torch,50
5,sea_lantern,4
6,diamond_block,57
7,jungle_fence,27
8,stone_slab,17
9,jukebox,8
10,stone_brick_stairs,13
11,red_sandstone_stairs,10
12,stone_brick_stairs,21
13,jukebox,62
14,nether_brick_fence,62
15,chest,55
16,iron_bars,43
17,anvil,44
18,jungle_door,53
19,glass,7
20,red_sandstone_stairs,63
21,emerald_ore,24
22,cactus,38
23,acacia_door,54
24,birch_stairs,43
25,wheat,31
26,end_stone,7
27,acacia_fence,4
28,ender_chest,18
29,birch_fence_gate,8
30,end_stone,32
31,end_stone,22
32,barrier,23
33,netherrack,7
34,redstone_torch,19
35,red_mushroom_block,16
