location,block,quantity
0,redstone_block,45
1,cobblestone,51
2,flower_pot,5
3,acacia_stairs,25
4,ladder,4
5,netherrack,60
6,barrier,8
7,cake,14
8,gold_ore,17
9,iron_bars,35
10,dark_oak_stairs,32
11,end_portal_frame,29
12,red_sandstone_stairs,11
13,netherrack,59
14,light_weighted_pressure_plate,48
15,dropper,19
16,stone_button,46
17,nether_brick_fence,54
18,dark_oak_fence_gate,52
19,lapis_block,33
20,bookshelf,58
21,pumpkin,17
22,acacia_fence_gate,13
23,redstone_ore,42
24,dropper,59
25,dirt,13
26,activator_rail,45
27,spruce_fence_gate,32
28,iron_block,4
29,gold_block,37
30,birch_fence_gate,50
31,cobblestone,10
32,stone_pressure_plate,27
33,coal_ore,33
34,clay,4
35,sandstone,14
