location,block,quantity
0,piston,49
1,enchanting_table,6
2,beacon,15
3,stone_pressure_plate,50
4,redstone_block,7
5,bookshelf,8
6,sea_lantern,19
7,sandstone_stairs,43
8,dragon_egg,33
9,red_sandstone_stairs,60
10,detector_rail,44
11,dragon_egg,38
12,acacia_fence,56
13,diamond_block,59
14,cake,34
15,barrier,63
16,snow,48
17,emerald_ore,44
18,birch_fence_gate,3
19,lever,56
20,nether_wart,56
21,dark_oak_fence_gate,39
22,dark_oak_fence_gate,27
23,heavy_weighted_pressure_plate,57
24,rail,58
25,netherrack,12
26,stone_brick_stairs,52
27,jungle_stairs,56
28,stone_stairs,41
29,gravel,7
30,spruce_fence_gate,36
31,gold_ore,42
32,furnace,10
33,dark_oak_stairs,40
34,cobblestone_wall,5
35,oak_stairs,8
