location,block,quantity
0,barrier,7
1,red_sandstone_stairs,26
2,sandstone_stairs,61
3,jungle_stairs,21
4,farmland,52
5,quartz_block,5
6,pumpkin,20
7,enchanting_table,56
8,beacon,32
9,birch_door,47
10,glowstone,12
11,brewing_stand,27
12,beacon,29
13,glass,33
14,brown_mushroom,41
15,anvil,57
16,dispenser,6
17,redstone_lamp,2
18,obsidian,5
19,netherrack,24
20,obsidian,10
21,sandstone_stairs,4
22,sticky_piston,3
23,furnace,57
24,farmland,45
25,emerald_ore,50
26,coal_ore,48
27,packed_ice,55
28,piston,63
29,obsidian,7
30,tripwire_hook,37
31,spruce_stairs,2
32,torch,23
33,iron_bars,49
34,daylight_detector,36
35,glowstone,22
