location,block,quantity
0,sandstone,8
1,bedrock,6
2,gold_ore,14
3,dispenser,27
4,sea_lantern,37
5,iron_trapdoor,9
6,command_block,1
7,sea_lantern,52
8,nether_brick_stairs,59
9,crafting_table,4
10,acacia_door,39
11,red_mushroom,20
12,stone_stairs,27
13,redstone_lamp,39
14,brown_mushroom,17
15,sandstone_stairs,58
16,bedrock,59
17,anvil,58
18,jukebox,28
19,nether_brick,63
20,iron_bars,7
21,furnace,20
22,detector_rail,8
23,dispenser,34
24,furnace,10
25,trapped_chest,58
26,hay_block,10
27,redstone_lamp,39
28,stone_slab,10
29,end_stone,44
30,iron_ore,52
31,dark_oak_fence,43
32,cake,51
33,jukebox,5
34,acacia_fence_gate,31
35,birch_stairs,46
